,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
8,57,25,0.695,10.0,108.9,103.4,5.34,1992,Cleveland Cavaliers*
9,48,34,0.585,19.0,98.9,96.9,2.06,1992,Detroit Pistons*
10,40,42,0.488,27.0,112.2,110.3,1.85,1992,Indiana Pacers*
11,38,44,0.463,29.0,106.2,107.7,-1.15,1992,Atlanta Hawks
12,31,51,0.378,36.0,105.0,106.7,-1.46,1992,Milwaukee Bucks
13,31,51,0.378,36.0,109.5,113.4,-3.57,1992,Charlotte Hornets
0,55,27,0.671,—,108.3,101.9,5.7,1992,Utah Jazz*
1,47,35,0.573,8.0,104.0,100.6,2.81,1992,San Antonio Spurs*
2,42,40,0.512,13.0,102.0,103.7,-1.94,1992,Houston Rockets
3,24,58,0.293,31.0,99.7,107.6,-7.59,1992,Denver Nuggets
4,22,60,0.268,33.0,97.6,105.3,-7.47,1992,Dallas Mavericks
5,15,67,0.183,40.0,100.5,107.5,-6.85,1992,Minnesota Timberwolves
6,57,25,0.695,—,111.4,104.1,6.94,1992,Portland Trail Blazers*
7,55,27,0.671,2.0,118.7,114.8,3.77,1992,Golden State Warriors*
8,53,29,0.646,4.0,112.1,106.2,5.68,1992,Phoenix Suns*
9,47,35,0.573,10.0,106.5,104.7,1.86,1992,Seattle SuperSonics*
10,45,37,0.549,12.0,102.9,101.9,1.1,1992,Los Angeles Clippers*
11,43,39,0.524,14.0,100.4,101.5,-0.95,1992,Los Angeles Lakers*
12,29,53,0.354,28.0,104.3,110.3,-5.63,1992,Sacramento Kings
0,60,22,0.732,—,101.6,95.4,5.87,1993,New York Knicks*
1,48,34,0.585,12.0,103.7,102.8,0.93,1993,Boston Celtics*
2,43,39,0.524,17.0,102.8,101.6,1.2,1993,New Jersey Nets*
3,41,41,0.5,19.0,105.5,104.2,1.35,1993,Orlando Magic
4,36,46,0.439,24.0,103.6,104.7,-0.93,1993,Miami Heat
5,26,56,0.317,34.0,104.3,110.1,-5.25,1993,Philadelphia 76ers
6,22,60,0.268,38.0,101.9,108.9,-6.49,1993,Washington Bullets
7,57,25,0.695,—,105.2,98.9,6.19,1993,Chicago Bulls*
8,54,28,0.659,3.0,107.7,101.3,6.3,1993,Cleveland Cavaliers*
9,44,38,0.537,13.0,110.1,110.4,-0.02,1993,Charlotte Hornets*
10,43,39,0.524,14.0,107.5,108.4,-0.67,1993,Atlanta Hawks*
11,41,41,0.5,16.0,107.8,106.1,1.77,1993,Indiana Pacers*
12,40,42,0.488,17.0,100.6,102.0,-1.1,1993,Detroit Pistons
13,28,54,0.341,29.0,102.3,106.1,-3.26,1993,Milwaukee Bucks
0,55,27,0.671,—,104.0,99.8,3.57,1993,Houston Rockets*
1,49,33,0.598,6.0,105.5,102.8,2.21,1993,San Antonio Spurs*
2,47,35,0.573,8.0,106.2,104.0,1.74,1993,Utah Jazz*
3,36,46,0.439,19.0,105.2,106.9,-2.14,1993,Denver Nuggets
4,19,63,0.232,36.0,98.1,105.9,-7.62,1993,Minnesota Timberwolves
5,11,71,0.134,44.0,99.3,114.5,-14.68,1993,Dallas Mavericks
6,62,20,0.756,—,113.4,106.7,6.27,1993,Phoenix Suns*
7,55,27,0.671,7.0,108.3,101.3,6.66,1993,Seattle SuperSonics*
8,51,31,0.622,11.0,108.5,105.4,2.92,1993,Portland Trail Blazers*
9,41,41,0.5,21.0,107.1,106.8,0.33,1993,Los Angeles Clippers*
10,39,43,0.476,23.0,104.2,105.5,-1.2,1993,Los Angeles Lakers*
11,34,48,0.415,28.0,109.9,110.9,-0.94,1993,Golden State Warriors
12,25,57,0.305,37.0,107.9,111.1,-3.0,1993,Sacramento Kings
0,57,25,0.695,—,98.5,91.5,6.48,1994,New York Knicks*
1,50,32,0.61,7.0,105.7,101.8,3.68,1994,Orlando Magic*
2,45,37,0.549,12.0,103.2,101.0,2.11,1994,New Jersey Nets*
3,42,40,0.512,15.0,103.4,100.7,2.4,1994,Miami Heat*
4,32,50,0.39,25.0,100.8,105.1,-4.28,1994,Boston Celtics
5,25,57,0.305,32.0,98.0,105.6,-7.37,1994,Philadelphia 76ers
6,24,58,0.293,33.0,100.4,107.7,-7.13,1994,Washington Bullets
7,57,25,0.695,—,101.4,96.2,4.94,1994,Atlanta Hawks*
8,55,27,0.671,2.0,98.0,94.9,2.87,1994,Chicago Bulls*
9,47,35,0.573,10.0,101.0,97.5,3.26,1994,Indiana Pacers*
10,47,35,0.573,10.0,101.2,97.1,3.64,1994,Cleveland Cavaliers*
11,41,41,0.5,16.0,106.5,106.7,-0.23,1994,Charlotte Hornets
12,20,62,0.244,37.0,96.9,103.4,-6.24,1994,Milwaukee Bucks
13,20,62,0.244,37.0,96.9,104.7,-7.46,1994,Detroit Pistons
0,58,24,0.707,—,101.1,96.8,4.19,1994,Houston Rockets*
1,55,27,0.671,3.0,100.0,94.8,5.05,1994,San Antonio Spurs*
2,53,29,0.646,5.0,101.9,97.7,4.1,1994,Utah Jazz*
3,42,40,0.512,16.0,100.3,98.8,1.54,1994,Denver Nuggets*
4,20,62,0.244,38.0,96.7,103.6,-6.55,1994,Minnesota Timberwolves
5,13,69,0.159,45.0,95.1,103.8,-8.19,1994,Dallas Mavericks
6,63,19,0.768,—,105.9,96.9,8.68,1994,Seattle SuperSonics*
7,56,26,0.683,7.0,108.2,103.4,4.68,1994,Phoenix Suns*
8,50,32,0.61,13.0,107.9,106.1,1.76,1994,Golden State Warriors*
9,47,35,0.573,16.0,107.3,104.6,2.6,1994,Portland Trail Blazers*
10,33,49,0.402,30.0,100.4,104.7,-3.93,1994,Los Angeles Lakers
11,28,54,0.341,35.0,101.1,106.9,-5.32,1994,Sacramento Kings
12,27,55,0.329,36.0,103.0,108.7,-5.28,1994,Los Angeles Clippers
0,57,25,0.695,—,110.9,103.8,6.44,1995,Orlando Magic*
1,55,27,0.671,2.0,98.2,95.1,2.78,1995,New York Knicks*
2,35,47,0.427,22.0,102.8,104.7,-1.92,1995,Boston Celtics*
3,32,50,0.39,25.0,101.1,102.8,-1.85,1995,Miami Heat
4,30,52,0.366,27.0,98.1,101.2,-3.28,1995,New Jersey Nets
5,24,58,0.293,33.0,95.4,100.4,-5.06,1995,Philadelphia 76ers
6,21,61,0.256,36.0,100.5,106.1,-5.56,1995,Washington Bullets
7,52,30,0.634,—,99.2,95.5,3.35,1995,Indiana Pacers*
8,50,32,0.61,2.0,100.6,97.3,2.87,1995,Charlotte Hornets*
9,47,35,0.573,5.0,101.5,96.7,4.32,1995,Chicago Bulls*
10,43,39,0.524,9.0,90.5,89.8,0.55,1995,Cleveland Cavaliers*
11,42,40,0.512,10.0,96.6,95.3,1.06,1995,Atlanta Hawks*
12,34,48,0.415,18.0,99.3,103.7,-4.3,1995,Milwaukee Bucks
13,28,54,0.341,24.0,98.2,105.5,-7.08,1995,Detroit Pistons
0,62,20,0.756,—,106.6,100.6,5.9,1995,San Antonio Spurs*
1,60,22,0.732,2.0,106.4,98.4,7.76,1995,Utah Jazz*
2,47,35,0.573,15.0,103.5,101.4,2.32,1995,Houston Rockets*
3,41,41,0.5,21.0,101.3,100.5,0.96,1995,Denver Nuggets*
4,36,46,0.439,26.0,103.2,106.1,-2.39,1995,Dallas Mavericks
5,21,61,0.256,41.0,94.2,103.2,-8.22,1995,Minnesota Timberwolves
6,59,23,0.72,—,110.6,106.8,3.86,1995,Phoenix Suns*
7,57,25,0.695,2.0,110.4,102.2,7.91,1995,Seattle SuperSonics*
8,48,34,0.585,11.0,105.1,105.3,-0.01,1995,Los Angeles Lakers*
9,44,38,0.537,15.0,103.1,99.2,3.8,1995,Portland Trail Blazers*
10,39,43,0.476,20.0,98.2,99.2,-0.74,1995,Sacramento Kings
11,26,56,0.317,33.0,105.7,111.1,-4.9,1995,Golden State Warriors
12,17,65,0.207,42.0,96.7,105.8,-8.43,1995,Los Angeles Clippers
0,60,22,0.732,—,104.5,99.0,5.4,1996,Orlando Magic*
1,47,35,0.573,13.0,97.2,94.9,2.24,1996,New York Knicks*
2,42,40,0.512,18.0,96.5,95.0,1.46,1996,Miami Heat*
3,39,43,0.476,21.0,102.5,101.5,0.99,1996,Washington Bullets
4,33,49,0.402,27.0,103.6,107.0,-3.37,1996,Boston Celtics
5,30,52,0.366,30.0,93.7,97.9,-4.14,1996,New Jersey Nets
6,18,64,0.22,42.0,94.5,104.5,-9.45,1996,Philadelphia 76ers
7,72,10,0.878,—,105.2,92.9,11.8,1996,Chicago Bulls*
8,52,30,0.634,20.0,99.3,96.1,3.11,1996,Indiana Pacers*
9,47,35,0.573,25.0,91.1,88.5,2.49,1996,Cleveland Cavaliers*
10,46,36,0.561,26.0,98.3,97.1,1.29,1996,Atlanta Hawks*
11,46,36,0.561,26.0,95.4,92.9,2.45,1996,Detroit Pistons*
12,41,41,0.5,31.0,102.8,103.4,-0.48,1996,Charlotte Hornets
13,25,57,0.305,47.0,95.6,100.9,-4.92,1996,Milwaukee Bucks
14,21,61,0.256,51.0,97.5,105.0,-7.2,1996,Toronto Raptors
0,59,23,0.72,—,103.4,97.1,5.98,1996,San Antonio Spurs*
1,55,27,0.671,4.0,102.5,95.9,6.25,1996,Utah Jazz*
2,48,34,0.585,11.0,102.5,100.7,1.63,1996,Houston Rockets*
3,35,47,0.427,24.0,97.7,100.4,-2.62,1996,Denver Nuggets
4,26,56,0.317,33.0,97.9,103.2,-5.14,1996,Minnesota Timberwolves
5,26,56,0.317,33.0,102.5,107.5,-4.71,1996,Dallas Mavericks
6,15,67,0.183,44.0,89.8,99.8,-9.55,1996,Vancouver Grizzlies
7,64,18,0.78,—,104.5,96.7,7.4,1996,Seattle SuperSonics*
8,53,29,0.646,11.0,102.9,98.5,4.21,1996,Los Angeles Lakers*
9,44,38,0.537,20.0,99.3,97.0,2.21,1996,Portland Trail Blazers*
10,41,41,0.5,23.0,104.3,104.0,0.28,1996,Phoenix Suns*
11,39,43,0.476,25.0,99.5,102.3,-2.62,1996,Sacramento Kings*
12,36,46,0.439,28.0,101.6,103.1,-1.42,1996,Golden State Warriors
13,29,53,0.354,35.0,99.4,103.0,-3.46,1996,Los Angeles Clippers
0,61,21,0.744,—,94.8,89.3,5.56,1997,Miami Heat*
1,57,25,0.695,4.0,95.4,92.2,3.31,1997,New York Knicks*
2,45,37,0.549,16.0,94.1,94.5,-0.07,1997,Orlando Magic*
3,44,38,0.537,17.0,99.4,97.7,1.77,1997,Washington Bullets*
4,26,56,0.317,35.0,97.2,101.8,-3.89,1997,New Jersey Nets
5,22,60,0.268,39.0,100.2,106.7,-5.89,1997,Philadelphia 76ers
6,15,67,0.183,46.0,100.6,107.9,-6.62,1997,Boston Celtics
7,69,13,0.841,—,103.1,92.3,10.7,1997,Chicago Bulls*
8,56,26,0.683,13.0,94.8,89.4,5.52,1997,Atlanta Hawks*
9,54,28,0.659,15.0,94.2,88.9,5.45,1997,Detroit Pistons*
10,54,28,0.659,15.0,98.9,97.0,2.13,1997,Charlotte Hornets*
11,42,40,0.512,27.0,87.5,85.6,2.32,1997,Cleveland Cavaliers
12,39,43,0.476,30.0,95.4,94.4,1.49,1997,Indiana Pacers
13,33,49,0.402,36.0,95.3,97.2,-1.38,1997,Milwaukee Bucks
14,30,52,0.366,39.0,95.5,98.6,-2.56,1997,Toronto Raptors
0,64,18,0.78,—,103.1,94.3,7.97,1997,Utah Jazz*
1,57,25,0.695,7.0,100.6,96.1,3.85,1997,Houston Rockets*
2,40,42,0.488,24.0,96.1,97.6,-1.82,1997,Minnesota Timberwolves*
3,24,58,0.293,40.0,90.6,97.0,-6.47,1997,Dallas Mavericks
4,21,61,0.256,43.0,97.8,104.1,-6.4,1997,Denver Nuggets
5,20,62,0.244,44.0,90.5,98.3,-7.93,1997,San Antonio Spurs
6,14,68,0.171,50.0,89.2,99.4,-10.17,1997,Vancouver Grizzlies
7,57,25,0.695,—,100.9,93.2,6.91,1997,Seattle SuperSonics*
8,56,26,0.683,1.0,100.0,95.7,3.66,1997,Los Angeles Lakers*
9,49,33,0.598,8.0,99.0,94.8,3.56,1997,Portland Trail Blazers*
10,40,42,0.488,17.0,102.8,102.2,0.21,1997,Phoenix Suns*
11,36,46,0.439,21.0,97.2,99.5,-2.66,1997,Los Angeles Clippers*
12,34,48,0.415,23.0,96.4,99.8,-3.64,1997,Sacramento Kings
13,30,52,0.366,27.0,99.6,104.4,-4.9,1997,Golden State Warriors
0,55,27,0.671,—,95.0,90.0,5.09,1998,Miami Heat*
1,43,39,0.524,12.0,91.6,89.1,2.74,1998,New York Knicks*
2,43,39,0.524,12.0,99.6,98.1,1.88,1998,New Jersey Nets*
3,42,40,0.512,13.0,97.2,96.6,1.11,1998,Washington Wizards
4,41,41,0.5,14.0,90.1,91.2,-0.53,1998,Orlando Magic
5,36,46,0.439,19.0,95.9,98.5,-1.96,1998,Boston Celtics
6,31,51,0.378,24.0,93.3,95.7,-1.89,1998,Philadelphia 76ers
7,62,20,0.756,—,96.7,89.6,7.24,1998,Chicago Bulls*
8,58,24,0.707,4.0,96.0,89.9,6.25,1998,Indiana Pacers*
9,51,31,0.622,11.0,96.6,94.6,2.45,1998,Charlotte Hornets*
10,50,32,0.61,12.0,95.9,92.3,3.85,1998,Atlanta Hawks*
11,47,35,0.573,15.0,92.5,89.8,3.06,1998,Cleveland Cavaliers*
12,37,45,0.451,25.0,94.2,92.6,1.95,1998,Detroit Pistons
13,36,46,0.439,26.0,94.5,96.4,-1.33,1998,Milwaukee Bucks
14,16,66,0.195,46.0,94.9,104.2,-8.33,1998,Toronto Raptors
0,62,20,0.756,—,101.0,94.4,5.73,1998,Utah Jazz*
1,56,26,0.683,6.0,92.5,88.5,3.3,1998,San Antonio Spurs*
2,45,37,0.549,17.0,101.1,100.4,0.17,1998,Minnesota Timberwolves*
3,41,41,0.5,21.0,98.8,99.5,-1.23,1998,Houston Rockets*
4,20,62,0.244,42.0,91.4,97.5,-6.33,1998,Dallas Mavericks
5,19,63,0.232,43.0,96.6,103.9,-7.47,1998,Vancouver Grizzlies
6,11,71,0.134,51.0,89.0,100.8,-11.74,1998,Denver Nuggets
7,61,21,0.744,—,100.6,93.4,6.33,1998,Seattle SuperSonics*
8,61,21,0.744,—,105.5,97.8,6.88,1998,Los Angeles Lakers*
9,56,26,0.683,5.0,99.6,94.4,4.44,1998,Phoenix Suns*
10,46,36,0.561,15.0,94.3,92.9,0.83,1998,Portland Trail Blazers*
11,27,55,0.329,34.0,93.1,98.7,-5.83,1998,Sacramento Kings
12,19,63,0.232,42.0,88.3,97.4,-9.2,1998,Golden State Warriors
13,17,65,0.207,44.0,95.9,103.3,-7.53,1998,Los Angeles Clippers
0,33,17,0.66,—,89.0,84.0,5.11,1999,Miami Heat*
1,33,17,0.66,—,89.5,86.9,3.11,1999,Orlando Magic*
2,28,22,0.56,5.0,89.7,87.6,2.56,1999,Philadelphia 76ers*
3,27,23,0.54,6.0,86.4,85.4,1.45,1999,New York Knicks*
4,19,31,0.38,14.0,93.0,94.9,-1.75,1999,Boston Celtics
5,18,32,0.36,15.0,91.2,93.4,-1.75,1999,Washington Wizards
6,16,34,0.32,17.0,91.4,95.2,-3.2,1999,New Jersey Nets
7,33,17,0.66,—,94.7,90.9,3.86,1999,Indiana Pacers*
8,31,19,0.62,2.0,86.3,83.4,2.82,1999,Atlanta Hawks*
9,29,21,0.58,4.0,90.4,86.9,3.97,1999,Detroit Pistons*
10,28,22,0.56,5.0,91.7,90.0,1.66,1999,Milwaukee Bucks*
11,26,24,0.52,7.0,92.9,93.0,0.63,1999,Charlotte Hornets
12,23,27,0.46,10.0,91.1,92.8,-1.32,1999,Toronto Raptors
13,22,28,0.44,11.0,86.4,88.2,-0.94,1999,Cleveland Cavaliers
14,13,37,0.26,20.0,81.9,91.4,-8.58,1999,Chicago Bulls
0,37,13,0.74,—,92.8,84.7,7.12,1999,San Antonio Spurs*
1,37,13,0.74,—,93.3,86.8,5.54,1999,Utah Jazz*
2,31,19,0.62,6.0,94.2,91.9,1.39,1999,Houston Rockets*
3,25,25,0.5,12.0,92.9,92.6,-0.17,1999,Minnesota Timberwolves*
4,19,31,0.38,18.0,91.6,94.0,-2.5,1999,Dallas Mavericks
5,14,36,0.28,23.0,93.5,100.1,-6.67,1999,Denver Nuggets
6,8,42,0.16,29.0,88.9,97.5,-8.94,1999,Vancouver Grizzlies
7,35,15,0.7,—,94.8,88.5,5.67,1999,Portland Trail Blazers*
8,31,19,0.62,4.0,99.0,96.0,2.68,1999,Los Angeles Lakers*
9,27,23,0.54,8.0,95.6,93.3,2.15,1999,Phoenix Suns*
10,27,23,0.54,8.0,100.2,100.6,-0.89,1999,Sacramento Kings*
11,25,25,0.5,10.0,94.9,95.9,-1.43,1999,Seattle SuperSonics
12,21,29,0.42,14.0,88.3,90.8,-2.63,1999,Golden State Warriors
13,9,41,0.18,26.0,90.4,99.2,-8.94,1999,Los Angeles Clippers
0,52,30,0.634,—,94.4,91.3,2.75,2000,Miami Heat*
1,50,32,0.61,2.0,92.1,90.7,1.3,2000,New York Knicks*
2,49,33,0.598,3.0,94.8,93.4,1.02,2000,Philadelphia 76ers*
3,41,41,0.5,11.0,100.1,99.4,0.43,2000,Orlando Magic
4,35,47,0.427,17.0,99.3,100.1,-1.0,2000,Boston Celtics
5,31,51,0.378,21.0,98.0,99.0,-1.18,2000,New Jersey Nets
6,29,53,0.354,23.0,96.6,99.9,-3.47,2000,Washington Wizards
7,56,26,0.683,—,101.3,96.7,4.15,2000,Indiana Pacers*
8,49,33,0.598,7.0,98.4,95.8,2.33,2000,Charlotte Hornets*
9,45,37,0.549,11.0,97.2,97.3,-0.46,2000,Toronto Raptors*
10,42,40,0.512,14.0,103.5,102.0,1.13,2000,Detroit Pistons*
11,42,40,0.512,14.0,101.2,101.0,-0.06,2000,Milwaukee Bucks*
12,32,50,0.39,24.0,97.0,100.5,-3.64,2000,Cleveland Cavaliers
13,28,54,0.341,28.0,94.3,99.7,-5.41,2000,Atlanta Hawks
14,17,65,0.207,39.0,84.8,94.2,-9.23,2000,Chicago Bulls
0,55,27,0.671,—,96.5,92.0,4.52,2000,Utah Jazz*
1,53,29,0.646,2.0,96.2,90.2,5.92,2000,San Antonio Spurs*
2,50,32,0.61,5.0,98.5,96.0,2.67,2000,Minnesota Timberwolves*
3,40,42,0.488,15.0,101.4,102.0,-0.29,2000,Dallas Mavericks
4,35,47,0.427,20.0,99.0,101.1,-1.76,2000,Denver Nuggets
5,34,48,0.415,21.0,99.5,100.3,-0.57,2000,Houston Rockets
6,22,60,0.268,33.0,93.9,99.5,-5.1,2000,Vancouver Grizzlies
7,67,15,0.817,—,100.8,92.3,8.41,2000,Los Angeles Lakers*
8,59,23,0.72,8.0,97.5,91.0,6.36,2000,Portland Trail Blazers*
9,53,29,0.646,14.0,98.9,93.7,5.24,2000,Phoenix Suns*
10,45,37,0.549,22.0,99.1,98.1,1.17,2000,Seattle SuperSonics*
11,44,38,0.537,23.0,105.0,102.0,3.04,2000,Sacramento Kings*
12,19,63,0.232,48.0,95.5,103.8,-7.63,2000,Golden State Warriors
13,15,67,0.183,52.0,92.0,103.5,-10.73,2000,Los Angeles Clippers
0,56,26,0.683,—,94.7,90.4,3.64,2001,Philadelphia 76ers*
1,50,32,0.61,6.0,88.9,86.6,1.73,2001,Miami Heat*
2,48,34,0.585,8.0,88.7,86.1,1.98,2001,New York Knicks*
3,43,39,0.524,13.0,97.5,96.5,0.39,2001,Orlando Magic*
4,36,46,0.439,20.0,94.6,96.8,-2.4,2001,Boston Celtics
5,26,56,0.317,30.0,92.1,97.1,-5.3,2001,New Jersey Nets
6,19,63,0.232,37.0,93.2,99.9,-6.75,2001,Washington Wizards
7,52,30,0.634,—,100.7,96.9,3.14,2001,Milwaukee Bucks*
8,47,35,0.573,5.0,97.6,95.4,1.69,2001,Toronto Raptors*
9,46,36,0.561,6.0,91.9,89.8,1.45,2001,Charlotte Hornets*
10,41,41,0.5,11.0,92.6,92.8,-0.77,2001,Indiana Pacers*
11,32,50,0.39,20.0,95.6,97.3,-2.08,2001,Detroit Pistons
12,30,52,0.366,22.0,92.2,96.5,-4.48,2001,Cleveland Cavaliers
13,25,57,0.305,27.0,91.0,96.2,-5.55,2001,Atlanta Hawks
14,15,67,0.183,37.0,87.6,96.7,-9.09,2001,Chicago Bulls
0,58,24,0.707,—,96.2,88.4,7.92,2001,San Antonio Spurs*
1,53,29,0.646,5.0,97.1,92.4,5.0,2001,Utah Jazz*
2,53,29,0.646,5.0,100.5,96.2,4.61,2001,Dallas Mavericks*
3,47,35,0.573,11.0,97.3,96.0,1.81,2001,Minnesota Timberwolves*
4,45,37,0.549,13.0,97.2,94.9,2.71,2001,Houston Rockets
5,40,42,0.488,18.0,96.6,99.0,-1.83,2001,Denver Nuggets
6,23,59,0.28,35.0,91.7,97.5,-4.94,2001,Vancouver Grizzlies
7,56,26,0.683,—,100.6,97.2,3.74,2001,Los Angeles Lakers*
8,55,27,0.671,1.0,101.7,95.9,6.07,2001,Sacramento Kings*
9,51,31,0.622,5.0,94.0,91.8,2.63,2001,Phoenix Suns*
10,50,32,0.61,6.0,95.4,91.2,4.52,2001,Portland Trail Blazers*
11,44,38,0.537,12.0,97.3,97.3,0.55,2001,Seattle SuperSonics
12,31,51,0.378,25.0,92.5,95.3,-2.23,2001,Los Angeles Clippers
13,17,65,0.207,39.0,92.5,101.5,-8.11,2001,Golden State Warriors
0,52,30,0.634,—,96.2,92.0,3.67,2002,New Jersey Nets*
1,49,33,0.598,3.0,96.4,94.1,1.75,2002,Boston Celtics*
2,44,38,0.537,8.0,100.5,98.9,1.25,2002,Orlando Magic*
3,43,39,0.524,9.0,91.0,89.4,1.27,2002,Philadelphia 76ers*
4,37,45,0.451,15.0,92.8,94.2,-1.58,2002,Washington Wizards
5,36,46,0.439,16.0,87.2,88.7,-1.84,2002,Miami Heat
6,30,52,0.366,22.0,91.6,95.6,-4.15,2002,New York Knicks
7,50,32,0.61,—,94.3,92.2,1.69,2002,Detroit Pistons*
8,44,38,0.537,6.0,93.9,92.9,0.57,2002,Charlotte Hornets*
9,42,40,0.512,8.0,91.4,91.8,-0.71,2002,Toronto Raptors*
10,42,40,0.512,8.0,96.8,96.5,-0.07,2002,Indiana Pacers*
11,41,41,0.5,9.0,97.5,97.7,-0.62,2002,Milwaukee Bucks
12,33,49,0.402,17.0,94.0,98.3,-4.41,2002,Atlanta Hawks
13,29,53,0.354,21.0,95.3,98.6,-3.52,2002,Cleveland Cavaliers
14,21,61,0.256,29.0,89.5,98.0,-8.52,2002,Chicago Bulls
0,58,24,0.707,—,96.7,90.5,6.28,2002,San Antonio Spurs*
1,57,25,0.695,1.0,105.2,101.0,4.41,2002,Dallas Mavericks*
2,50,32,0.61,8.0,99.3,96.0,3.58,2002,Minnesota Timberwolves*
3,44,38,0.537,14.0,96.0,95.1,1.21,2002,Utah Jazz*
4,28,54,0.341,30.0,92.3,97.2,-4.31,2002,Houston Rockets
5,27,55,0.329,31.0,92.2,98.0,-5.19,2002,Denver Nuggets
6,23,59,0.28,35.0,89.9,97.3,-6.74,2002,Memphis Grizzlies
7,61,21,0.744,—,104.6,97.0,7.61,2002,Sacramento Kings*
8,58,24,0.707,3.0,101.3,94.1,7.15,2002,Los Angeles Lakers*
9,49,33,0.598,12.0,96.6,93.7,3.21,2002,Portland Trail Blazers*
10,45,37,0.549,16.0,97.7,94.7,3.24,2002,Seattle SuperSonics*
11,39,43,0.476,22.0,95.7,96.1,-0.09,2002,Los Angeles Clippers
12,36,46,0.439,25.0,95.1,95.8,-0.3,2002,Phoenix Suns
13,21,61,0.256,40.0,97.7,103.1,-4.8,2002,Golden State Warriors
0,49,33,0.598,—,95.4,90.1,4.42,2003,New Jersey Nets*
1,48,34,0.585,1.0,96.8,94.5,1.76,2003,Philadelphia 76ers*
2,44,38,0.537,5.0,92.7,93.1,-0.75,2003,Boston Celtics*
3,42,40,0.512,7.0,98.5,98.4,-0.39,2003,Orlando Magic*
4,37,45,0.451,12.0,91.5,92.5,-1.47,2003,Washington Wizards
5,37,45,0.451,12.0,95.9,97.2,-1.61,2003,New York Knicks
6,25,57,0.305,24.0,85.6,90.6,-5.13,2003,Miami Heat
7,50,32,0.61,—,91.4,87.7,2.97,2003,Detroit Pistons*
8,48,34,0.585,2.0,96.8,93.3,2.79,2003,Indiana Pacers*
9,47,35,0.573,3.0,93.9,91.8,1.52,2003,New Orleans Hornets*
10,42,40,0.512,8.0,99.5,99.3,-0.24,2003,Milwaukee Bucks*
11,35,47,0.427,15.0,94.1,97.6,-3.87,2003,Atlanta Hawks
12,30,52,0.366,20.0,95.0,100.1,-5.31,2003,Chicago Bulls
13,24,58,0.293,26.0,90.9,96.8,-6.1,2003,Toronto Raptors
14,17,65,0.207,33.0,91.4,101.0,-9.59,2003,Cleveland Cavaliers
0,60,22,0.732,—,95.8,90.4,5.65,2003,San Antonio Spurs*
1,60,22,0.732,—,103.0,95.2,7.9,2003,Dallas Mavericks*
